Algorithm,Tank Capacity (L),Sigma Pct,Feasible (%),Mean Cost,Cost Gap vs Best (%),Mean Runtime (ms),Runtime Std (ms),Mean Expanded States
State-Expanded Dijkstra,20.0,0.0,100.0,4032.0,0.0,12.3,0.56,1982.0
State-Expanded Dijkstra,20.0,5.0,100.0,3977.41,0.0,27.16,0.3,1984.0
State-Expanded Dijkstra,20.0,10.0,100.0,3922.82,0.0,28.34,1.91,2000.0
State-Expanded Dijkstra,20.0,20.0,100.0,3714.74,0.0,28.57,0.52,2023.0
State-Expanded Dijkstra,40.0,0.0,100.0,3528.0,0.0,31.98,0.92,3511.0
State-Expanded Dijkstra,40.0,5.0,100.0,3400.2,0.0,115.99,1.22,3539.0
State-Expanded Dijkstra,40.0,10.0,100.0,3214.11,0.0,120.18,0.97,3575.0
State-Expanded Dijkstra,40.0,20.0,100.0,2576.21,0.0,125.69,1.99,3527.0
State-Expanded Dijkstra,60.0,0.0,100.0,3024.0,0.0,65.45,1.39,4569.0
State-Expanded Dijkstra,60.0,5.0,100.0,2903.97,0.0,269.38,5.31,4666.0
State-Expanded Dijkstra,60.0,10.0,100.0,2668.14,0.0,282.65,5.85,4697.0
State-Expanded Dijkstra,60.0,20.0,100.0,1988.27,0.0,284.9,6.63,4506.0
State-Expanded Dijkstra,80.0,0.0,100.0,2520.0,0.0,128.54,1.54,5203.0
State-Expanded Dijkstra,80.0,5.0,100.0,2413.83,0.0,474.82,10.99,5323.0
State-Expanded Dijkstra,80.0,10.0,100.0,2185.84,0.0,490.74,4.79,5336.0
State-Expanded Dijkstra,80.0,20.0,100.0,1614.4,0.0,474.66,7.48,5162.0
Full-Tank-Only Dijkstra,20.0,0.0,100.0,4212.0,4.46,10.04,0.08,1068.0
Full-Tank-Only Dijkstra,20.0,5.0,100.0,4174.58,4.96,10.35,0.66,1068.0
Full-Tank-Only Dijkstra,20.0,10.0,100.0,4137.17,5.46,10.26,0.15,1079.0
Full-Tank-Only Dijkstra,20.0,20.0,100.0,4062.34,9.36,10.57,0.46,1092.0
Full-Tank-Only Dijkstra,40.0,0.0,100.0,3888.0,10.2,29.0,0.75,2753.0
Full-Tank-Only Dijkstra,40.0,5.0,100.0,3771.85,10.93,29.33,0.28,2756.0
Full-Tank-Only Dijkstra,40.0,10.0,100.0,3611.2,12.35,30.51,0.83,2827.0
Full-Tank-Only Dijkstra,40.0,20.0,100.0,2971.54,15.35,30.42,0.5,2817.0
Full-Tank-Only Dijkstra,60.0,0.0,100.0,3060.0,1.19,42.18,0.75,3849.0
Full-Tank-Only Dijkstra,60.0,5.0,100.0,2971.45,2.32,44.21,0.73,3897.0
Full-Tank-Only Dijkstra,60.0,10.0,100.0,2799.09,4.91,44.43,1.37,3961.0
Full-Tank-Only Dijkstra,60.0,20.0,100.0,2190.72,10.18,43.65,0.6,3857.0
Full-Tank-Only Dijkstra,80.0,0.0,100.0,2916.0,15.71,60.36,0.99,5282.0
Full-Tank-Only Dijkstra,80.0,5.0,100.0,2876.1,19.15,64.21,6.18,5344.0
Full-Tank-Only Dijkstra,80.0,10.0,100.0,2728.2,24.81,63.91,1.53,5465.0
Full-Tank-Only Dijkstra,80.0,20.0,100.0,1975.36,22.36,62.5,1.65,5312.0
