experiment,run,algorithm,feasible,cost,runtime_ms,expanded_states,nodes,degree,sigma_pct,tank_liters,initial_fuel_liters,efficiency_km_per_liter,seed,source,target,path
exp1_scalability,0,dijkstra,True,3214.107165176517,153.0467,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,1,dijkstra,True,3214.107165176517,124.1264,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,2,dijkstra,True,3214.107165176517,121.8209,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,3,dijkstra,True,3214.107165176517,123.6209,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,4,dijkstra,True,3214.107165176517,125.8392,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,5,dijkstra,True,3214.107165176517,119.5648,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,6,dijkstra,True,3214.107165176517,138.1996,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,7,dijkstra,True,3214.107165176517,127.1317,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,8,dijkstra,True,3214.107165176517,118.0761,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,9,dijkstra,True,3214.107165176517,120.4731,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,0,greedy,False,inf,81.8394,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,1,greedy,False,inf,84.1511,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,2,greedy,False,inf,79.4045,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,3,greedy,False,inf,80.2406,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,4,greedy,False,inf,80.1893,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,5,greedy,False,inf,81.0141,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,6,greedy,False,inf,80.8915,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,7,greedy,False,inf,80.9794,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,8,greedy,False,inf,83.1552,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,9,greedy,False,inf,80.9197,16000,100,5,10.0,40.0,28.0,10.0,42,N0,N99,
exp1_scalability,0,dynamic_programming,True,3214.107165176517,118.1358,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,1,dynamic_programming,True,3214.107165176517,118.3219,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,2,dynamic_programming,True,3214.107165176517,118.7137,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,3,dynamic_programming,True,3214.107165176517,122.1514,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,4,dynamic_programming,True,3214.107165176517,121.0447,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,5,dynamic_programming,True,3214.107165176517,119.7418,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,6,dynamic_programming,True,3214.107165176517,119.852,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,7,dynamic_programming,True,3214.107165176517,124.0273,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,8,dynamic_programming,True,3214.107165176517,118.855,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,9,dynamic_programming,True,3214.107165176517,121.9601,3575,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,0,standard_astar,True,3295.180851196334,464.7557,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,1,standard_astar,True,3295.180851196334,474.1666,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,2,standard_astar,True,3295.180851196334,465.5979,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,3,standard_astar,True,3295.180851196334,473.323,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,4,standard_astar,True,3295.180851196334,470.8357,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
exp1_scalability,5,standard_astar,True,3295.180851196334,480.4297,18507,100,5,10.0,40.0,28.0,10.0,42,N0,N99,N0->N65->N37->N48->N63->N61->N59->N80->N52->N5->N30->N53->N45->N99
